gene_id,ERR188044,ERR188104,ERR188234,ERR188245,ERR188257,ERR188273,ERR188337,ERR188383,ERR188401,ERR188428,ERR188454,ERR204916
NM_005647|TBL1X,1921,1073,0,604,198,375,1078,825,943,646,385,901
NM_015691|WWC3,761,2208,3275,775,929,788,1921,1144,756,934,118,487
NM_001256944|CLCN4,0,0,0,20,0,6,0,0,61,6,0,0
NM_001830|CLCN4,196,324,200,46,18,109,292,128,8,18,0,33
NM_033289|MID1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001098624|MID1,0,0,0,0,0,0,0,0,0,0,0,0
NM_033290|MID1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001193279|MID1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001193280|MID1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001193281|MID1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001193277|MID1,10,0,0,0,0,0,0,0,0,0,0,0
NM_000381|MID1,3,27,10,11,2,7,7,8,11,10,7,24
NM_001193278|MID1,1,0,0,0,0,0,0,0,0,0,0,0
NM_001171991|HCCS,0,0,45,0,0,0,16,0,62,18,0,25
NM_005333|HCCS,838,698,692,516,644,203,708,660,969,480,622,630
NM_001122608|HCCS,24,141,59,100,90,92,43,75,117,0,76,0
NM_001142|AMELX,0,0,0,0,0,0,0,0,0,0,0,0
NM_182680|AMELX,0,0,0,0,0,0,0,0,0,0,0,0
NM_182681|AMELX,0,0,0,0,0,0,0,0,0,0,0,0
NR_049865|MIR548AX,0,0,0,0,0,0,0,0,0,0,0,0
NM_013427|ARHGAP6,210,254,191,248,271,143,145,189,356,259,244,268
NR_109776|ARHGAP6,14,36,13,3,4,4,13,4,3,3,15,15
NM_001287242|ARHGAP6,3,172,138,3,0,0,112,0,1,0,3,110
NM_013423|ARHGAP6,2,0,0,0,2,1,0,0,0,0,0,0
NM_006125|ARHGAP6,50,55,24,13,36,5,33,12,28,9,16,49
NM_001282174|MSL3,0,0,162,56,124,0,122,0,79,55,141,47
NM_078629|MSL3,1177,1345,2013,1210,1304,600,1893,1181,1329,1352,2032,1441
NM_078628|MSL3,620,1066,1198,938,665,287,1688,743,1307,1236,1248,1054
NM_001193270|MSL3,3,94,55,130,17,0,32,2,171,31,55,51
NM_006800|MSL3,192,642,791,501,373,50,587,382,443,1275,300,555
NM_014728|FRMPD4,0,0,0,0,1,0,0,0,0,0,0,0
NM_002765|PRPS2,1733,2726,2332,1530,1868,710,2138,1907,2745,1172,1783,2195
NM_001039091|PRPS2,226,414,360,238,320,153,591,344,211,238,256,186
NM_016610|TLR8,0,0,0,0,2,2,3,0,0,0,0,0
NM_138636|TLR8,0,2,0,0,0,0,0,0,0,0,0,0
NR_030727|TLR8-AS1,3,2,0,0,2,0,0,0,0,0,0,0
NM_016562|TLR7,2561,1481,1837,1147,1916,1253,2276,2562,3031,1999,1838,1319
NM_174901|FAM9C,0,0,0,0,0,0,0,0,0,0,0,0
NR_046087|GS1-600G8.3,0,0,0,0,0,0,0,0,0,0,0,0
NM_001135995|ATXN3L,1,0,0,1,0,0,0,0,0,1,2,1
NR_045260|LINC01203,0,0,0,0,0,0,0,0,0,0,0,0
NM_001297564|TCEANC,0,25,20,0,0,0,21,0,0,38,0,0
NM_001297563|TCEANC,57,70,105,51,78,52,64,63,16,43,70,47
NM_152634|TCEANC,26,0,0,27,0,0,22,18,55,1,2,7
NR_110506|UBE2E4P,183,197,171,114,114,44,188,118,169,104,172,143
NM_001118885|GLRA2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001118886|GLRA2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001171942|GLRA2,0,0,0,0,0,0,0,0,0,0,0,0
NM_002063|GLRA2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001018113|FANCB,156,220,107,90,112,68,140,146,208,94,158,136
NM_152633|FANCB,16,0,30,0,0,0,25,3,0,34,0,0
NM_001128835|TRAPPC2,0,15,0,0,43,0,0,0,0,0,0,1
NM_005278|GPM6B,0,0,0,0,0,0,0,0,0,0,0,0
NM_001001994|GPM6B,0,0,0,0,0,0,0,0,0,0,0,0
NM_004251|RAB9A,1181,1121,946,708,915,346,1565,830,1701,917,940,950
NM_001195328|RAB9A,145,397,330,478,407,144,253,357,622,283,391,232
NM_001011658|TRAPPC2,464,364,396,422,243,180,465,411,449,490,291,417
NM_014563|TRAPPC2,31,197,456,19,155,134,316,8,18,14,118,15
NM_003611|OFD1,1311,1523,1101,677,912,481,1917,1026,1380,1067,848,867
NM_001001995|GPM6B,31,36,24,17,36,7,73,26,51,21,15,17
NM_001001996|GPM6B,16,13,7,10,13,3,30,16,21,6,8,7
NM_001042479|GEMIN8,277,397,498,427,285,133,417,347,466,388,284,339
NM_001042480|GEMIN8,166,109,307,107,135,110,212,135,161,111,157,120
NM_017856|GEMIN8,8,8,8,1,52,0,57,6,42,2,3,54
NM_001177475|MOSPD2,0,0,0,0,0,0,0,0,0,0,0,0
NM_152581|MOSPD2,433,487,212,168,278,131,331,331,552,243,385,357
NM_001031739|ASB9,0,39,88,0,56,0,57,35,134,64,0,21
NM_001168530|ASB9,0,0,0,0,0,0,0,0,0,0,0,0
NM_024087|ASB9,0,2,0,0,3,0,0,0,0,4,4,0
NM_001168531|ASB9,28,0,4,9,0,5,3,1,18,0,35,2
NM_021109|TMSB4X,206321,206431,275506,115472,168627,97839,168448,140259,221628,129628,148563,127794
NM_002641|PIGA,344,549,294,217,348,113,466,359,578,247,270,308
NR_033835|PIGA,54,104,34,65,44,0,31,49,79,29,98,98
NM_020473|PIGA,17,0,0,0,0,0,7,0,0,0,0,0
NR_033836|PIGA,15,58,4,44,9,51,21,13,59,7,93,110
NM_020665|TMEM27,7,0,7,2,6,7,5,8,5,0,0,10
NM_004469|FIGF,0,0,0,0,0,0,0,2,2,0,0,0
NR_037859|PIR-FIGF,12,3,0,0,4,2,4,6,5,6,6,4
NM_001018109|PIR,247,573,447,260,375,125,223,295,395,281,443,465
NM_003662|PIR,186,105,60,98,177,19,93,177,420,2,85,194
NR_026551|CA5BP1,137,108,239,113,109,100,197,79,132,119,143,113
NM_007220|CA5B,129,161,158,84,76,58,139,95,94,89,111,107
NR_002725|INE2,1,0,0,0,0,0,0,0,0,0,1,2
NM_005089|ZRSR2,345,402,677,436,413,214,810,311,374,413,361,432
NM_001277307|MAGEB17,2,0,2,0,0,0,2,0,2,5,3,0
NM_005314|GRPR,84,46,24,6,15,24,47,19,21,81,32,13
NM_003916|AP1S2,1517,1871,1714,638,1133,772,1452,1464,1301,1437,1361,1183
NM_001272071|AP1S2,1,1,0,1,1,1,1,1,1,1,1,1
NM_001037535|SCML1,0,157,0,0,68,0,189,0,235,0,0,171
NM_006746|SCML1,0,0,1,0,4,27,50,0,0,0,0,0
NM_001037536|SCML1,128,186,193,0,141,0,157,166,159,136,0,163
NM_001037540|SCML1,15,45,12,99,3,0,16,12,22,8,21,9
NM_001080975|REPS2,0,0,11,0,0,0,0,0,0,0,0,0
NM_004726|REPS2,14,5,0,12,10,4,15,12,12,3,8,9
NM_001291867|NHS,0,0,0,0,1,1,3,2,2,0,2,0
NM_198270|NHS,0,0,0,0,0,0,0,0,0,0,0,0
NR_039925|MIR4768,0,0,0,0,0,0,0,0,0,0,0,0
NR_046632|NHS-AS1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291868|NHS,0,0,0,0,0,0,0,0,0,0,0,0
NM_001136024|NHS,5,1,2,0,0,0,0,0,0,0,0,0
NR_033717|SCML2,0,0,0,0,0,0,0,0,0,0,0,0
NM_006089|SCML2,9,11,8,10,4,8,5,10,9,3,29,4
NM_004057|S100G,0,0,0,0,0,0,0,0,0,0,0,0
NM_001144002|CTPS2,604,833,674,490,561,266,759,631,914,492,579,660
NM_175859|CTPS2,35,33,22,46,70,8,82,50,102,37,54,75
NM_019857|CTPS2,16,21,11,0,0,6,15,11,31,11,7,8
NR_039762|MIR548AM,1,0,0,0,0,1,0,0,0,0,0,0
NM_032796|SYAP1,1329,1819,1556,984,1418,541,2117,1428,1516,1080,1503,1312
NR_033181|SYAP1,113,387,624,419,418,164,629,355,365,473,292,344
NM_018360|TXLNG,781,1134,1260,911,854,564,1565,986,1299,984,824,939
NM_001168683|TXLNG,1,1,2,8,5,5,15,8,4,1,14,11
NM_002893|RBBP7,3735,4768,4184,2742,3621,1616,4254,4012,4642,3225,3137,3491
NM_001198719|RBBP7,402,309,438,223,121,143,178,156,531,96,446,268
NM_001037343|CDKL5,0,0,0,0,0,0,0,0,0,0,0,0
NM_000330|RS1,0,0,1,0,1,0,0,0,1,0,2,5
NM_003159|CDKL5,54,16,30,9,17,21,25,27,44,21,35,49
NR_046642|PPEF1-AS1,0,0,0,0,0,0,0,0,0,0,0,0
NM_006240|PPEF1,0,6,6,0,9,0,0,0,7,5,0,6
NM_152224|PPEF1,0,0,0,0,0,0,0,0,0,0,0,0
NM_152226|PPEF1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001079859|ADGRG2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001079860|ADGRG2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001184833|ADGRG2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001184834|ADGRG2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001184835|ADGRG2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001184836|ADGRG2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001184837|ADGRG2,0,0,0,0,0,0,0,0,0,0,0,0
NM_005756|ADGRG2,0,0,0,0,0,0,0,0,0,0,0,0
NR_029379|PHKA2-AS1,10,9,15,6,7,2,15,6,21,10,10,4
NM_000292|PHKA2,896,919,1202,553,565,432,979,583,998,576,715,790
NM_001079858|ADGRG2,39,3,18,9,21,0,21,10,21,3,3,0
NM_001173455|PDHA1,0,1,207,3,100,0,462,0,216,0,5,231
NM_001173456|PDHA1,0,0,59,47,0,23,209,0,0,0,0,0
NM_000284|PDHA1,1572,2835,2700,1866,1758,1096,994,2210,2718,1325,1841,2182
NM_001173454|PDHA1,989,1,115,6,180,2,1040,12,589,165,275,0
NM_001001671|MAP3K15,9,13,19,6,4,3,9,9,0,0,12,11
NR_024440|LOC729609,0,0,0,0,0,0,0,0,0,0,0,0
NM_198279|CXorf23,235,352,200,128,196,81,365,170,262,149,222,181
NM_001168467|MAP7D2,0,0,0,5,0,0,0,0,0,0,0,0
NM_001168466|MAP7D2,0,0,0,0,0,0,0,0,0,0,0,0
NM_152780|MAP7D2,0,0,0,0,0,0,0,0,0,0,0,0
NR_037414|MIR23C,0,1,0,0,1,0,0,0,1,0,2,0
NM_001168465|MAP7D2,224,931,438,61,251,45,362,236,482,225,437,1122
NR_023358|SCARNA9L,0,1,2,4,1,0,7,2,4,13,0,2
NR_046592|EIF1AX-AS1,0,0,0,0,0,0,2,0,2,0,0,0
NM_001412|EIF1AX,2087,3010,3662,3301,2866,1507,4714,3151,3566,3089,2525,3419
NM_001184960|SH3KBP1,0,1,1,0,0,0,0,0,0,0,0,0
NM_031892|SH3KBP1,7783,9210,9296,4170,6905,3549,9779,8805,7753,5721,9067,8566
NM_001024666|SH3KBP1,1163,1236,898,2019,478,220,642,352,1854,1241,26,45
NM_004586|RPS6KA3,2326,2546,2053,1051,1484,892,2168,1766,2369,1555,1771,1931
NM_014332|SMPX,0,0,0,0,0,0,0,0,0,0,0,0
NR_045617|SMPX,0,0,0,0,0,0,0,0,0,0,0,0
NM_001168648|CNKSR2,0,0,0,2,4,0,0,4,0,0,0,3
NM_001168649|CNKSR2,0,19,11,0,0,0,33,0,11,13,4,2
NM_001168647|CNKSR2,0,57,118,0,0,0,269,0,32,0,23,8
NM_014927|CNKSR2,55,200,0,88,122,17,0,95,246,89,163,76
NM_015884|MBTPS2,569,777,518,307,385,262,568,437,676,392,550,514
NM_206923|YY2,67,66,47,37,58,28,90,44,100,27,74,38
NM_001282754|PHEX,0,0,0,0,0,0,0,0,0,0,0,0
NR_046639|PHEX-AS1,0,0,0,0,0,0,0,0,0,0,0,0
NM_004595|SMS,2869,3975,3495,2839,2883,1239,3751,2901,3890,2102,2454,2442
NM_001258423|SMS,29,60,56,9,26,0,38,25,13,22,9,13
NM_000444|PHEX,12,28,25,4,11,0,10,31,27,5,0,6
NM_006406|PRDX4,1077,1101,1430,1215,1098,362,1139,1571,1236,941,1817,1142
NM_001033583|ACOT9,0,0,0,0,0,0,0,0,0,0,0,0
NM_001037171|ACOT9,945,1097,1042,739,885,241,894,832,1495,644,1002,944
NM_002970|SAT1,1490,1441,2325,1486,1153,659,1258,1811,1594,1143,2010,1442
NR_027783|SAT1,438,411,515,428,564,125,415,533,609,342,603,401
NM_001169574|CXorf58,0,0,0,0,0,0,0,0,0,0,0,0
NM_152761|CXorf58,5,4,0,4,4,0,0,0,4,0,0,0
NM_024122|APOO,284,369,383,336,399,126,351,373,683,213,313,285
NR_026545|APOO,33,52,19,53,35,8,22,24,62,23,32,14
NR_046657|ZFX-AS1,0,0,2,0,3,1,0,0,0,0,0,4
NM_001178086|ZFX,0,0,0,0,0,0,0,0,0,0,0,0
NM_001178095|ZFX,0,0,0,0,2,0,7,0,0,0,0,1
NM_001178084|ZFX,0,0,0,0,169,79,0,0,279,0,812,82
NM_001178085|ZFX,491,208,387,15,11,0,1227,221,320,599,51,5
NM_003410|ZFX,521,1004,964,966,537,525,531,442,340,478,26,952
NM_030624|KLHL15,782,832,548,269,447,251,617,544,628,459,526,612
NM_001415|EIF2S3,8489,10346,13966,10622,8056,5614,12569,7431,12089,8840,7378,10707
NM_001163265|PCYT1B,0,0,0,0,0,0,0,0,0,0,0,0
NM_001163264|PCYT1B,0,0,0,0,0,0,0,0,0,0,0,0
NR_046638|PCYT1B-AS1,0,0,0,0,0,0,0,0,0,0,0,0
NM_004845|PCYT1B,7,11,6,6,0,0,2,3,6,4,17,10
NM_001142386|PDK3,3022,3939,2198,1985,2061,959,3093,2398,3562,1959,1860,3240
NM_005391|PDK3,17,15,28,28,31,13,28,15,31,11,32,35
NM_139058|ARX,0,0,3,1,0,0,1,0,0,0,0,2
NR_003007|SCARNA23,0,0,0,0,0,0,1,0,0,0,0,1
NM_016937|POLA1,1835,2628,1823,1054,1423,791,2643,1583,2398,1455,1451,1908
NM_177415|MAGEB1,0,0,0,0,0,0,0,0,0,0,0,0
NM_177404|MAGEB1,0,0,0,0,0,0,0,0,0,0,0,0
NM_002367|MAGEB4,2,1,0,1,1,0,0,0,1,0,0,0
NM_002363|MAGEB1,2,2,0,0,0,0,0,0,5,0,0,2
NM_025159|CXorf21,1157,1294,2233,484,1058,519,1837,1167,897,1415,1101,979
NM_000167|GK,0,0,150,0,215,0,255,0,146,149,0,0
NM_001128127|GK,0,0,287,0,462,0,627,0,407,347,41,0
NM_001205019|GK,531,804,118,368,91,167,2,598,358,1,373,423
NM_203391|GK,74,39,58,24,46,28,0,40,137,0,38,37
NM_152787|TAB3,1195,1346,816,522,789,402,1252,815,1356,758,1025,940
NM_152632|CFAP47,0,0,0,0,0,0,0,0,0,0,0,0
NM_001304548|CFAP47,0,0,0,0,0,0,0,0,0,0,0,0
NR_110412|RP11-87M18.2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001173486|PRRG1,0,0,0,0,0,0,0,0,0,0,0,0
NM_000950|PRRG1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001142395|PRRG1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001173489|PRRG1,0,1,0,0,0,0,0,0,2,0,0,0
NM_001173490|PRRG1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001170331|LANCL3,0,0,0,0,0,0,0,0,0,0,0,0
NM_198511|LANCL3,0,3,3,0,0,0,0,0,0,0,0,0
NM_006520|DYNLT3,356,618,290,364,469,118,464,458,639,312,487,379
NM_000397|CYBB,3378,3184,4407,1344,2914,1654,3708,2356,3452,2291,2364,2214
NM_001163335|SYTL5,0,0,0,0,3,0,0,0,0,2,4,0
NM_138780|SYTL5,0,0,0,0,0,0,0,0,0,0,0,0
NR_039674|MIR548AJ2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001163334|SYTL5,0,0,0,0,0,0,0,0,0,0,0,0
NM_001170750|SRPX,0,0,0,0,0,0,0,0,0,0,0,0
NM_001170751|SRPX,0,0,0,0,0,0,0,0,0,0,0,0
NM_001170752|SRPX,0,0,0,0,0,0,0,0,0,0,0,0
NM_006307|SRPX,5,0,5,4,9,0,7,3,12,4,13,5
NM_000328|RPGR,110,237,120,109,173,65,256,137,201,171,209,179
NM_001034853|RPGR,27,18,5,0,8,6,28,7,17,0,11,8
NM_004014|DMD,0,0,0,0,0,0,0,0,0,0,0,0
NM_004013|DMD,0,0,0,0,0,0,0,0,0,0,0,0
NM_004020|DMD,0,1,0,5,0,0,4,2,0,0,10,5
NM_004021|DMD,0,0,0,75,0,0,0,0,0,0,0,0
NM_004022|DMD,0,0,0,51,0,0,0,0,0,0,0,0
NM_004023|DMD,0,0,0,0,0,0,0,0,0,0,0,0
NM_004011|DMD,0,0,0,0,0,0,0,0,0,0,0,0
NM_004012|DMD,0,0,0,0,0,0,0,0,0,0,0,0
NM_004010|DMD,0,0,0,106,4,0,2,0,0,0,0,0
NM_004009|DMD,0,0,0,0,0,0,0,0,0,0,0,0
NM_004006|DMD,0,0,0,0,0,0,0,0,0,0,0,0
NM_000109|DMD,0,0,0,22,0,0,0,0,0,0,0,0
NR_037478|MIR3915,0,0,0,0,0,0,0,0,0,0,0,0
NR_031646|MIR548F5,0,0,0,0,0,0,0,0,0,0,0,0
NM_004017|DMD,471,546,205,72,342,113,285,255,437,115,269,439
NM_004018|DMD,327,414,284,0,391,86,382,211,624,152,243,405
NM_004015|DMD,287,706,119,0,403,105,356,273,539,279,120,348
NM_004016|DMD,270,637,160,47,415,84,426,200,696,301,138,385
NM_004019|DMD,2,8,1,2,1,2,4,1,10,1,3,7
NM_004615|TSPAN7,14,3,3,0,5,0,2,2,4,2,5,0
NM_001098790|MID1IP1,0,0,0,1,0,0,0,0,0,0,0,0
NM_001098791|MID1IP1,0,0,0,8,18,0,7,6,0,0,0,0
NR_046706|MID1IP1-AS1,22,30,32,6,10,5,25,12,21,13,14,13
NM_021242|MID1IP1,1433,1420,1883,2265,1938,385,2909,1583,2705,1611,1448,1520
NR_110386|LOC101927476,0,0,0,0,0,0,0,0,0,0,0,0
NM_017745|BCOR,1002,403,572,0,227,152,259,137,385,290,527,395
NM_001123385|BCOR,262,615,528,230,228,167,497,258,383,356,676,374
NM_001123384|BCOR,92,78,253,460,194,140,364,200,70,52,37,117
NM_001123383|BCOR,35,31,62,0,175,117,0,121,29,0,0,0
NR_027761|LOC100132831,1,1,1,1,0,1,1,1,2,0,1,2
NM_005765|ATP6AP2,2862,2414,1898,1425,2035,879,1824,2023,2696,1300,2446,1783
NM_001195522|MPC1L,1,0,0,0,0,0,0,0,0,0,0,0
NM_144970|CXorf38,1317,1370,1760,856,862,648,1339,1070,1614,1207,1137,1624
NM_004229|MED14,2854,2981,2614,1618,1960,1264,4019,1945,3730,2430,1782,2424
NM_001289773|MED14OS,15,28,12,13,15,5,22,12,25,8,6,21
NM_001039591|USP9X,5784,3738,4270,1914,2101,2212,4331,2238,4216,3849,3444,3476
NM_001039590|USP9X,897,3258,1241,1010,1432,803,2289,1938,1971,1170,926,2426
NM_001356|DDX3X,1116,918,2009,1387,1254,714,1828,934,1197,1622,772,1230
NR_126093|DDX3X,2,0,4,1,1,1,3,2,3,1,1,1
NM_001193416|DDX3X,7739,7983,9285,4592,5277,3753,10185,5845,8492,6598,6647,6989
NM_001193417|DDX3X,416,0,0,0,0,118,409,369,0,0,129,106
NR_126094|DDX3X,36,42,46,17,8,21,56,3,36,15,37,26
NM_001126054|CASK,0,0,0,0,0,0,0,0,0,0,0,0
NM_005300|GPR34,0,0,0,0,0,0,0,0,0,0,0,0
NM_001126055|CASK,634,728,753,92,712,118,1016,500,1212,486,562,453
NM_003688|CASK,72,132,34,185,96,14,97,70,112,145,310,34
NM_001097579|GPR34,72,31,51,12,98,13,54,31,60,21,5,4
NM_080817|GPR82,92,22,49,16,58,21,59,39,72,18,14,7
NR_110387|LOC101927501,0,0,0,0,0,0,0,0,0,0,0,0
NM_000240|MAOA,0,0,0,0,0,0,0,0,0,0,0,0
NM_001270458|MAOA,0,0,0,0,0,0,0,0,0,0,0,0
NM_025184|EFHC2,0,20,0,0,4,0,11,0,5,9,0,0
NM_173794|FUNDC1,329,437,436,272,296,135,422,363,476,293,313,421
NM_024689|CXorf36,0,0,0,0,0,0,0,0,0,0,0,0
NM_176819|CXorf36,3,0,0,0,0,0,0,0,0,0,0,0
NR_029635|MIR221,3,5,2,1,3,1,5,1,4,1,1,2
NR_029636|MIR222,2,1,0,1,0,1,1,0,0,0,0,0
NM_001291415|KDM6A,0,0,212,128,0,200,356,0,0,351,0,87
NM_001291417|KDM6A,0,16,19,15,0,0,0,0,0,23,86,18
NM_001291418|KDM6A,0,22,176,114,0,0,0,0,0,154,82,176
NM_001291421|KDM6A,0,16,0,0,0,0,0,0,4,0,0,15
NM_001291416|KDM6A,517,401,361,364,364,198,432,358,452,465,203,570
NM_021140|KDM6A,362,344,420,54,165,158,385,287,418,116,305,261
NR_111960|KDM6A,92,184,231,97,51,102,426,79,6,134,175,155
NM_006915|RP2,595,539,463,224,353,242,442,476,638,285,330,420
NR_046101|LINC01545,4,0,0,0,0,0,0,0,0,0,0,0
